순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
5,노경은,SSG,2.14,77,3,6,3,35,0.333,80,60,2,25,3,68,22,19,1.06,0,0,0,320,1177,3,0,6,0.215,0,0,3,6,36,0,2,76,79,0.272,0.283,0.272,0.555,0.96,15.3,14.7,7.65,2.81,2.72,3.07,50.2,72,1.5,21.3,7.8,8.3,0.23,6.75,77.5
6,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171.7,121,13,51,9,245,53,43,1,0,0,17,694,2792,10,0,0,0.193,30,12,0,0,0,0,7,130,134,0.29,0.262,0.285,0.547,0.97,93.1,16.3,12.84,2.67,4.8,2.58,52.4,60.6,5.3,35.3,7.3,0,0.68,6.28,78.6
7,김택형,SSG,2.78,25,0,0,0,1,0,22.7,19,0,10,3,14,7,7,1.28,0,0,0,95,371,2,0,0,0.235,0,0,0,13,0,0,4,27,21,0.284,0.34,0.309,0.649,1.29,14.8,16.4,5.56,3.97,1.4,3.85,60.8,90.3,0.3,14.7,10.5,0,0,7.03,78.1
8,화이트,SSG,2.87,24,11,4,0,0,0.733,134.7,111,9,44,8,137,51,43,1.15,1,0,12,562,2165,6,0,0,0.221,24,11,0,0,0,0,8,162,96,0.283,0.292,0.316,0.608,1.69,90.2,16.1,9.16,2.94,3.11,3.39,66.7,79.5,2.8,24.4,7.8,0,0.59,7.33,74.5
9,김민,SSG,2.97,70,5,2,1,22,0.714,63.7,60,7,17,6,65,23,21,1.21,0,0,0,266,944,4,0,4,0.251,0,0,5,6,22,1,11,77,37,0.317,0.317,0.368,0.685,2.08,13.5,14.8,9.19,2.4,3.82,3.85,67.9,90.5,0.6,24.4,6.4,4.5,0.96,8.27,82
10,박기호,SSG,3,18,0,0,0,2,0,24,23,3,12,8,13,10,8,1.46,0,0,0,110,451,2,0,0,0.267,1,0,0,6,0,0,5,33,18,0.282,0.402,0.395,0.797,1.83,25.1,18.8,4.88,4.5,1.08,6.43,70.4,151.1,-0.2,11.8,10.9,0,1.13,8.63,85.1
11,박시후,SSG,3.27,52,6,2,0,3,0.75,52.3,45,5,29,5,34,24,19,1.41,0,0,0,231,930,0,1,0,0.233,1,0,6,6,1,0,6,65,50,0.258,0.346,0.326,0.672,1.3,17.9,17.8,5.85,4.99,1.17,5.26,75.8,123.5,-0.3,14.7,12.6,0,0.85,7.64,76.4
12,김건우,SSG,3.82,35,5,4,0,2,0.556,66,53,2,49,7,68,31,28,1.55,0,0,0,301,1241,4,0,0,0.22,13,4,1,5,3,0,5,51,71,0.295,0.365,0.303,0.668,0.72,35.5,18.8,9.27,6.68,1.39,4.27,89.7,100.3,0.3,22.6,16.3,0,0.27,7.23,73.4
13,최민준,SSG,3.97,40,2,2,0,1,0.5,65.7,72,6,24,3,44,34,29,1.46,0,0,0,287,1172,3,0,0,0.289,8,0,2,10,2,0,9,67,70,0.325,0.354,0.39,0.744,0.96,29.3,17.8,6.03,3.29,1.83,4.45,91,104.4,-0.1,15.3,8.4,0,0.8,9.62,71.7
14,전영준,SSG,4.61,34,1,5,0,0,0.167,52.7,48,5,26,5,55,28,27,1.41,0,0,0,228,993,3,0,0,0.249,5,0,1,6,1,0,4,35,56,0.321,0.351,0.373,0.724,0.63,29.2,18.9,9.4,4.44,2.12,4.28,105,100.4,-0.1,24.1,11.4,0,0.83,7.95,70.8
