주차장명,소재지지번주소,주차구획수,규모구분,fee_type,동이름
팔달로41길인근,대구광역시 북구 노원동2가 1,90,대형,,노원동2가
팔달북로2길인근,대구광역시 북구 노원동3가 252-3,21,중형,,노원동3가
팔달북로3길인근,대구광역시 북구 노원동3가 252-3,68,대형,,노원동3가
팔달북로7길인근,대구광역시 북구 노원동3가 252-3,41,중형,,노원동3가
팔달북로인근,대구광역시 북구 노원동3가 436,100,대형,,노원동3가
풍국면앞,대구광역시 북구 노원동3가 252-3,16,소형,,노원동3가
한국농촌공사,대구광역시 북구 구암동 651,30,중형,,구암동
힘나라2길인근,대구광역시 북구 노원동3가 252-3,43,중형,,노원동3가
1·2,대구광역시 북구 칠성동2가 310-1,50,중형,,칠성동2가
EXPO,대구광역시 북구 복현동 478-5,18,소형,,복현동
RGB Tower,대구광역시 북구 동천동 903-4,52,대형,,동천동
강북,대구광역시 북구 구암동 653-1,16,소형,,구암동
경명여고앞,대구광역시 북구 칠성동2가 385-2,40,중형,,칠성동2가
공단,대구광역시 북구 노원동3가 183-19,34,중형,,노원동3가
관음(공영),대구광역시 북구 관음동 448-1,169,대형,,관음동
관음동 1255-14공영,대구광역시 북구 관음동 1255-14,6,소형,,관음동
관음동1275-27공영,대구광역시 북구 관음동 1275-27,6,소형,,관음동
관음동1284-5공영,대구광역시 북구 관음동 1284-5,12,소형,,관음동
구수산(공영),대구광역시 북구 읍내동 1077-1,48,중형,,읍내동
구암동주민센터(공영),대구광역시 북구 구암동 788-3,46,중형,,구암동
노곡교남단1(공영),대구광역시 북구 노곡동 990,200,대형,,노곡동
노곡교남단2(공영),대구광역시 북구 노곡동 876,200,대형,,노곡동
노원(공영),대구광역시 북구 노원동1가 16-1,82,대형,,노원동1가
동변(공영),대구광역시 북구 동변동 670,53,대형,,동변동
동천동복합청사공영,대구광역시 북구 동천동 930-1,25,중형,,동천동
동편업무지구(공영),대구광역시 북구 산격동 1687,123,대형,,산격동
동호동(공영),대구광역시 북구 동호동 262-2,10,소형,,동호동
복현동임시공영주차장,대구광역시 북구 복현동 127,8,소형,,복현동
북구문화회관앞(공영),대구광역시 북구 산격동 120,110,대형,,산격동
산격(공영),대구광역시 북구 산격동 1264-1,43,중형,,산격동
산격3동공영,대구광역시 북구 산격동 1410-4,51,대형,,산격동
산업용재관남편(공영),대구광역시 북구 산격동 1631,112,대형,,산격동
서변1(공영),대구광역시 북구 서변동 1777,91,대형,,서변동
서변2(공영),대구광역시 북구 서변동 1791,95,대형,,서변동
서편업무지구(공영),대구광역시 북구 산격동 1639,105,대형,,산격동
신기공원북편(공영),대구광역시 북구 산격동 1617,58,대형,,산격동
신천둔치(공영),대구광역시 북구 칠성동1가 276-165,437,대형,,칠성동1가
우편집중국서편(공영),대구광역시 북구 산격동 1567,29,중형,,산격동
읍내동임시공영,대구광역시 북구 읍내동 412-5,10,소형,,읍내동
임시공영(공영청사부지),대구광역시 북구 구암동 771-3,338,대형,,구암동
임시공영(관음동),대구광역시 북구 관음동 1230-2,120,대형,,관음동
임시공영(복현1동)1,대구광역시 북구 복현동 404-3,23,중형,,복현동
임시공영(복현1동)2,대구광역시 북구 복현동 615-31,23,중형,,복현동
임시공영(침산1동),대구광역시 북구 침산동 1310-2,17,소형,,침산동
